switchName:	sp-main-san01
switchType:	120.0
switchState:	Online
switchMode:	Native
switchRole:	Principal
switchDomain:	1
switchId:	fffc01
switchWwn:	10:00:c4:f5:7c:c3:a2:53
zoning:		ON (sp_main_san_cfg_01)
switchBeacon:	OFF
FC Router:	OFF
HIF Mode:	OFF

Index Slot Port Address Media  Speed        State    Proto
============================================================
 171    3   27   01ab00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:21:4c
 172    3   28   01ac00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:14:34
 173    3   29   01ad00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:20:74
 174    3   30   01ae00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:08
 175    3   31   01af00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:09
 288    3   32   01a880   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:0a
 289    3   33   01a980   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:18
 290    3   34   01aa80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:24:19
 291    3   35   01ab80   id    N16	  No_Light    FC
 292    3   36   01ac80   id    N16	  No_Light    FC
 293    3   37   01ad80   id    N16	  Online      FC  F-Port  50:06:0e:80:12:39:e0:01
 294    3   38   01ae80   id    N16	  No_Light    FC
 295    3   39   01af80   id    N16	  No_Light    FC
 296    3   40   01a080   id    N16	  Online      FC  F-Port  50:06:01:62:47:e0:4e:b7
 297    3   41   01a180   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:08
 298    3   42   01a280   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:09
 299    3   43   01a380   id    N16	  No_Light    FC
 300    3   44   01a480   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:18
 301    3   45   01a580   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:19
 302    3   46   01a680   id    N16	  No_Light    FC
 303    3   47   01a780   id    N16	  No_Light    FC
 384    5    0   ------   --    16G	  No_Module   FC
 385    5    1   ------   --    16G	  No_Module   FC
 386    5    2   ------   --    16G	  No_Module   FC
 387    5    3   ------   --    16G	  No_Module   FC
 388    5    4   ------   --    16G	  No_Module   FC
 389    5    5   ------   --    16G	  No_Module   FC
 390    5    6   ------   --    16G	  No_Module   FC
 391    5    7   ------   --    16G	  No_Module   FC
 392    5    8   ------   --    16G	  No_Module   FC
 393    5    9   ------   --    16G	  No_Module   FC
 394    5   10   ------   --    16G	  No_Module   FC
 395    5   11   ------   --    16G	  No_Module   FC
 396    5   12   ------   --    16G	  No_Module   FC
 397    5   13   ------   --    16G	  No_Module   FC
 398    5   14   ------   --    16G	  No_Module   FC
 399    5   15   ------   --    16G	  No_Module   FC
 400    5   16   ------   --    16G	  No_Module   FC
 401    5   17   ------   --    16G	  No_Module   FC
 402    5   18   ------   --    16G	  No_Module   FC
 403    5   19   ------   --    16G	  No_Module   FC
 404    5   20   ------   --    16G	  No_Module   FC
 405    5   21   ------   --    16G	  No_Module   FC
 406    5   22   ------   --    16G	  No_Module   FC
 407    5   23   ------   --    16G	  No_Module   FC
 408    5   24   ------   --    16G	  No_Module   FC
 409    5   25   ------   --    16G	  No_Module   FC
 410    5   26   ------   --    16G	  No_Module   FC
 411    5   27   ------   --    16G	  No_Module   FC
 412    5   28   ------   --    16G	  No_Module   FC
 413    5   29   ------   --    16G	  No_Module   FC
 414    5   30   ------   --    16G	  No_Module   FC
 415    5   31   ------   --    16G	  No_Module   FC
1152    5   32   ------   --    16G	  No_Module   FC
1153    5   33   ------   --    16G	  No_Module   FC
1154    5   34   ------   --    16G	  No_Module   FC
1155    5   35   ------   --    16G	  No_Module   FC
1156    5   36   ------   --    16G	  No_Module   FC
1157    5   37   ------   --    16G	  No_Module   FC
1158    5   38   ------   --    16G	  No_Module   FC
1159    5   39   ------   --    16G	  No_Module   FC
1160    5   40   ------   --    16G	  No_Module   FC
1161    5   41   ------   --    16G	  No_Module   FC
1162    5   42   ------   --    16G	  No_Module   FC
1163    5   43   ------   --    16G	  No_Module   FC
1164    5   44   ------   --    16G	  No_Module   FC
1165    5   45   ------   --    16G	  No_Module   FC
1166    5   46   ------   --    16G	  No_Module   FC
1167    5   47   ------   --    16G	  No_Module   FC
1168    5   48   ------   --    16G	  No_Module   FC
1169    5   49   ------   --    16G	  No_Module   FC
1170    5   50   ------   --    16G	  No_Module   FC
1171    5   51   ------   --    16G	  No_Module   FC
1172    5   52   ------   --    16G	  No_Module   FC
1173    5   53   ------   --    16G	  No_Module   FC
1174    5   54   ------   --    16G	  No_Module   FC
1175    5   55   ------   --    16G	  No_Module   FC
1176    5   56   ------   --    16G	  No_Module   FC
1177    5   57   ------   --    16G	  No_Module   FC
1178    5   58   ------   --    16G	  No_Module   FC
1179    5   59   ------   --    16G	  No_Module   FC
1180    5   60   ------   --    16G	  No_Module   FC
1181    5   61   ------   --    16G	  No_Module   FC
1182    5   62   ------   --    16G	  No_Module   FC
1183    5   63   ------   --    16G	  No_Module   FC
 416    8    0   ------   --    16G	  No_Module   FC
 417    8    1   ------   --    16G	  No_Module   FC
 418    8    2   ------   --    16G	  No_Module   FC
 419    8    3   ------   --    16G	  No_Module   FC
 420    8    4   ------   --    16G	  No_Module   FC
 421    8    5   ------   --    16G	  No_Module   FC
 422    8    6   ------   --    16G	  No_Module   FC
 423    8    7   ------   --    16G	  No_Module   FC
 424    8    8   ------   --    16G	  No_Module   FC
 425    8    9   ------   --    16G	  No_Module   FC
 426    8   10   ------   --    16G	  No_Module   FC
 427    8   11   ------   --    16G	  No_Module   FC
 428    8   12   ------   --    16G	  No_Module   FC
 429    8   13   ------   --    16G	  No_Module   FC
 430    8   14   ------   --    16G	  No_Module   FC
